name,nation,score,peoples,date
CODE-秘密的房间,韩国,7.7,634,2016-01-01
名侦探柯南OVA12：传说中的球棒的奇迹,日本,6.7,1759,2012-04-27
开封奇谈,中国大陆,6.6,1684,2017-10-30
马耳他之鹰,,7.5,7993,1941-10-18
心灵侦探八云,,6.8,4839,2010-10-03
了不起的亡灵,,7.7,21372,2011-10-29
金田一少年事件簿SP 学园七不思议杀人事件,,8.6,358,1995-04-08
状王宋世杰2,香港,7.6,6751,1999-06-07
人生删除事务所,日本,8.5,26451,2018-07-27
推理的女王2,韩国,7.0,374,2018-02-28
犯罪现场调查 第九季,美国,8.9,4721,2008-10-09
名侦探柯南OVA3：柯南、平次与消失的少年,日本,7.2,4417,2006-03-24
名侦探柯南OVA7：来自阿笠的挑战书！阿笠对决柯南和少年侦探团,日本,7.0,3731,2008-04-04
吸血鬼检察官2,,7.9,3180,2012-09-09
埃奇威尔爵士之死,英国,8.5,1118,2000-02-19
人狼游戏：疯狂的狐狸,日本,5.2,1074,2015-12-05
后窗,,8.5,84423,1954-08-01
春&夏事件簿,日本,5.3,1948,2017-03-04
白教堂血案 第三季,,8.7,6007,2012-01-30
犯罪现场调查 第十三季,美国,8.6,2984,2012-09-26
十个小黑人,,7.9,3317,亚历山大·凯伊达诺夫
名侦探柯南特典：新一与小兰·麻将牌与七夕的回忆,日本,7.4,6784,2009-04-18
名侦探柯南特典：9号半之花,日本,7.1,1298,2012-04-14
算计：七天的死亡游戏,日本,5.6,9689,2010-10-16
摩斯探长 第一季,英国,7.9,309,1987-01-06
皇家律师 第二季,英国,9.4,12404,2012-05-15
Lying Man 第一季,,8.3,1464,李静媛
天蝎 第二季,美国,7.5,2702,2015-09-21
穆赫兰道,戛纳电影节,8.3,280069,2001-05-16
案发现场2,,7.7,871,金鑫
Lying Man 第二季,,9.2,1982,李静媛
陆小凤传奇之绣花大盗,,7.4,6895,2007-01-24
金田一少年事件簿：雪夜叉传说杀人事件,日本,8.7,338,1995-12-30
古畑任三郎 凶手是大使阁下,,8.3,2450,2004-01-03
拉普拉斯的魔女,日本,5.5,3184,2018-05-04
信号 长期未解决事件搜查组,日本,6.4,3285,2018-04-10
亡者之声,日本,7.3,9276,2009-01-12
智破奇案,,7.1,146,1989(中国大陆)
牙医之死,,8.2,997,1992-01-19
女生宿舍,中国大陆,3.9,6219,2014-09-12
EERIE~看不见的脸,日本,8.5,12862,2018-08-04
十二怒汉,,8.8,6577,1997-08-17
犯罪现场调查 第八季,美国,9.2,4767,2007-09-27
魍魉之匣,日本,8.0,8762,2008-10-07
相棒 第16季,日本,8.6,974,2017-10-18
Lying Man 第四季,,7.1,454,2016-04-08
大饭店 第三季,,8.2,942,2013-01-22
絶対零度～特殊犯罪潜入捜査～,日本,7.4,2427,2011-07-12
罪人,圣丹斯电影节,7.6,17075,2018-01-21
古宅迷踪,,7.1,247,1986-01-08
同谋,中国大陆,4.9,16276,2013-04-27
三幕悲剧,,6.7,175,1986-09-30
第三层套间中的疑案,,7.5,725,1989-02-05
千禧年三部曲,瑞典,8.4,490,2010-03-20
清洁女工之死,,7.6,1032,2008-09-01
乔治·詹特利探案 第一季,英国,8.4,256,2008-07-03
坏蛋必须死,中国大陆,6.0,31599,2015-11-27
彼得·温西爵爷探案,英国,7.9,101,1987-03-25
小青天司徒公,,9.4,490,中国大陆
彼布利亚古书堂事件记事簿,日本,7.6,1855,2013-01-14
傲慢与偏见,韩国,7.1,2705,2014-10-27
魔手,,7.9,585,2006-02-12
空幻之屋,英国,7.7,998,2004-04-26
天堂岛疑云 第二季,英国,8.6,416,2013-01-08
桥 第二季,瑞典,9.0,293,2013-09-22
相棒 Pre-Season,日本,8.8,1256,2000-06-03
江湖奇案,中国大陆,7.3,163,2011-08-10
维兰德 第二季,,8.5,1788,2010-01-03
名侦探的守则,日本,6.8,6252,2009-04-17
谁是真凶,,6.5,838,2013-06-23
丹麦版谋杀 第二季,丹麦,8.8,167,2009-09-27
布朗神父 第二季,,8.0,261,2014-01-06
乱战,美国,7.0,14623,2005-12-15
D坂杀人事件,日本,7.3,616,1998-05-16
死亡约会,,7.8,942,2008-09-22
模仿游戏,英国,8.6,333340,2014-11-14
波希米亚丑闻,,8.9,1331,1984-04-24
卜案,中国大陆,7.4,416,2012-01-02
泡吧侦探3,日本,6.2,882,2017-12-01
骇故事之无罪日,中国大陆,4.6,150,2016-12-29
青空之卵,,7.8,1924,2012-07-28
犯罪现场调查 第十二季,美国,8.7,3699,2011-09-21
弹丸论破3 -The End of 希望之峰学园- 绝望篇,日本,6.6,2173,2016-07-14
第六感,美国,8.8,308041,1999-08-06
赫尔克里的丰功伟绩,波兰,8.5,770,2013-11-01
死神的精度,日本,7.2,28133,2008-03-22
石雕宅邸杀人案,韩国,6.1,986,2017-05-09
识骨寻踪 第七季,美国,8.9,4460,2011-11-03
重任在肩 第三季,英国,9.5,867,2016-03-24
侠僧探案传奇之聚义钱庄,中国大陆,7.2,2902,2015-01-12
侠僧探案传奇之王陵之谜,中国大陆,7.0,2026,2015-01-13
诱拐,日本,7.5,4688,2003-11-08
全部成为F,日本,6.7,4275,2014-10-21
富豪刑事,日本,6.9,5301,2005-01-13
东野圭吾3周连续SP,日本,6.6,9832,2011-06-10
是谁杀了德山大五郎,日本,7.3,1169,2016-07-16
解密高手,,8.2,116,1993-09-27
D坂杀人事件,日本,4.8,1674,2015-02-14
相棒 第11季,日本,8.6,2609,2012-10-10
灵书妙探 第八季,美国,8.1,1907,2015-09-21
心迷宫,FIRST青年影展,8.7,255721,2014-07-21
名侦探柯南 给工藤新一的挑战书～怪鸟传说之谜～,,5.7,6167,2011-04-15
影子杀人,韩国,6.4,1996,2009-04-02
梦境,英国,8.0,752,1989-03-19
幽巷谋杀案,,7.3,772,1989-01-15
克拉珀姆厨师奇遇记,英国,7.6,1223,1989-01-08
探长薇拉 第三季,英国,8.4,233,2013-08-25
惊魂记,纽约首映,8.9,111713,1960-06-16
名侦探柯南特典：工藤新一 迷之墙和黑色拉布犬事件,日本,7.3,3228,2008-04-19
推理要在晚餐后SP：船上侦探影山,日本,7.3,3900,2013-07-30
超感神探 第七季,美国,8.9,2331,2014-11-30
命案目睹记,英国,8.3,756,2004-12-26
借镜杀人,,7.4,358,2009-04-04
星笼之海,日本,5.3,2207,2016-06-04
名侦探柯南特典：新泻·东京 礼物狂想曲,日本,7.2,1701,2011-04-16
四大魔头,波兰,7.2,643,2013-10-04
Thrill 黑之章 律师 白井真之介的大灾难,日本,7.2,669,2017-02-26
罗宾计划,日本,7.9,1505,2008-09-21
Super Liar,中国大陆,8.2,904,2016-06-18
真探 第二季,美国,7.9,16853,2015-06-21
高度怀疑,美国,7.2,13998,2009-09-11
犬神家族,日本,7.7,1450,1976-10-16
梅花K之迷,,7.2,680,1989-03-12
费雪小姐探案集 第三季,,8.8,521,2015-05-08
蓝色特快上的秘密,,7.5,1257,2005-12-11
越狱  第二季,美国,8.5,70283,2006-08-21
无限密室,影节,6.4,1662,2016-05(奇幻
IQ246：华丽事件簿,日本,5.7,2729,2016-10-16
白马酒店,,8.2,486,2010-07-21
悬崖上的谋杀,哥伦比亚,6.8,400,2009-03-02
黑麦奇案,,7.4,424,2008-11-08
神探狄仁杰前传,,6.8,1998,2010-02-09
潜行追踪 第二季,英国,8.4,373,2016-09-22
古墓之谜,英国,7.7,1578,2001-07-08
人性记录,,7.3,191,1985-09-19
一级恐惧,美国,8.4,111752,1996-04-03
冰果 真人版,日本,5.1,1401,2017-11-03
雷顿神秘侦探社～卡特莉的解谜事件簿～,,7.4,169,2018-04(日本
左目侦探EYE SP,,6.8,3178,2009-10-03
侦探物语,日本,6.3,3577,2017-07-14
买地方报的女人：作家杉本隆治的推理,日本,6.3,1822,2016-03-12
未麻的部屋,奇幻电影节,8.9,135084,1997-07(加拿
边隧谜案 第一季,英国,7.5,733,2013-10-16
鸽群中的猫,,7.8,1036,2008-09-08
诱拐法庭～七天～,日本,6.1,561,2018-10-07
牧师神探 第一季,英国,7.5,814,2014-10-06
彼岸花：警视厅搜查七课,日本,5.8,1396,2016-01-13
所罗门的伪证前篇：事件,日本,6.6,6643,2015-03-07
罪案第六感 第一季,美国,7.8,2138,2012-07-09
怪物,日本,6.3,4158,2012-10-21
SPEC：结 前篇,日本,6.6,10719,2013-11-01
名侦探柯南 工藤新一的挑战书,日本,6.1,4254,2011-07-07
贴身保镖,英国,8.5,46754,2018-08-26
住院的病人,,9.2,691,1985-09-15
红发会,,9.2,790,1985-09-22
临终的侦探,,9.4,490,1994-03-14
二十四只黑画眉,,7.2,645,1989-01-29
铁证悬案 第七季,美国,8.5,499,2009-09-27
素描,韩国,6.9,1418,2018-05-25
金田一少年之事件簿 剧场版1：歌剧院新杀人事件,日本,8.0,1188,1996-12-14
Specialist,日本,6.9,1263,2016-01-14
心理追凶  第四季,英国,8.8,736,2006-09-20
天堂岛疑云 第三季,英国,8.1,284,2014-01-14
骗子,韩国,7.3,18297,2017-11-22
野兽之道,日本,8.2,4165,2006-01-12
厨子当官,,7.2,184,李保田
绑匪的女儿,日本,8.3,2839,2015-01-18
虎牙狼人杀 第二季,中国大陆,7.2,372,2018-07-06
嗅觉神探 第一季,乌克兰,8.1,223,2013-11-11
灵书妙探  第二季,美国,8.3,6121,2009-09-21
白夜行,日本,8.3,58755,2006-01-12
布朗神父 第三季,英国,8.4,261,2015-01-05
名侦探柯南特典：通往大阪什锦煎饼的艰险之路,日本,7.1,4663,2010-04-17
蓝色天竺葵,,7.7,362,2010-06-27
皇家酒店谋杀案,奇幻电影节,6.9,18881,2018-09-27
颜,日本,7.3,1312,2003-04-08
布朗神父 第四季,,8.2,222,2016-01-04
盲点 第四季,美国,6.7,126,2018-10-12
