name,nation,score,peoples,date
嫌疑人X的献身,韩国,7.5,35401,2012-10-18
读心神探,香港,7.3,34296,2010-10-04
名侦探柯南：第十一名前锋,日本,6.3,37939,2012-04-14
福尔摩斯：基本演绎法 第一季,美国,7.9,34308,2012-09-27
神的测验5,韩国,8.4,1613,2018-11-14
幽灵,韩国,8.5,32441,2012-05-30
天使与魔鬼,美国,7.3,83445,2009-05-15
特殊案件专案组TEN,韩国,8.4,12568,2011-11-18
古灵精探,香港,7.4,19189,2008-03-17
犯罪心理 第一季,美国,9.1,52731,2005-09-22
名侦探柯南：异次元的狙击手,日本,6.7,32736,2014-04-19
马普尔小姐探案 第一季,英国,8.7,10699,2004-12-12
名侦探柯南：绀碧之棺,,6.7,48400,2007-04-21
终极面试,英国,6.9,67801,2009-06-01
犯罪现场调查 第一季,美国,9.0,22743,2000-10-06
控方证人,英国,7.7,12186,2016-12-26
疑犯追踪  第一季,美国,9.1,49193,2011-09-22
我是大侦探,中国大陆,6.1,19156,2018-03-24
替身,日本,7.8,23343,2012-01-09
麒麟之翼 新参者剧场版,日本,7.2,14476,2012-01-28
古董局中局之佛头起源,中国大陆,8.2,1385,2019-01-03
名侦探柯南：绀青之拳,日本,6.9,227,2019-04-12
Trace～科搜研的男人,日本,6.1,2444,2019-01-07
名侦探柯南：章节ONE 变小的名侦探,日本,8.2,8603,2016-12-09
沉睡的森林,日本,7.5,7030,2014-01-02
只有我不在的街道,日本,8.1,4739,2017-12-15
新参者,日本,8.0,13737,2010-04-18
国家宝藏：夺宝秘笈,美国,7.1,81856,2007-12-21
全能侦探社 第一季,美国,8.5,10792,2016-10-22
福尔摩斯：基本演绎法 第六季,美国,9.2,6035,2018-04-30
上锁的房间,日本,7.8,22228,2012-04-16
神探狄仁杰3,中国大陆,7.8,9243,2008-03-15
极限空间,锡切斯电影节,6.7,17257,2007-10-07
香水 第一季,德国,8.1,5236,2018-11-14
神探伽利略 第二季,日本,7.7,30545,2013-04-15
猎头游戏,挪威,7.6,34719,2011-08-26
识骨寻踪 第一季,美国,8.5,13921,2005-09-13
解忧杂货店,中国大陆,5.0,97025,2017-12-29
江户川乱步短篇集2,日本,8.3,2033,2016-12-26
罪途1之死亡列车,中国大陆,6.9,12175,2018-05-11
名侦探柯南：远海的侦探,日本,6.3,36943,2013-04-20
新神探联盟,中国大陆,7.8,6300,2013-07-26
听风者,中国大陆,6.9,162713,2012-08-07
摩斯探长前传 第二季,英国,9.3,6009,2014-03-30
法证先锋3,香港,7.5,32162,2011-10-10
鉴证实录,香港,8.6,34171,1997-12-22
刑事ZERO,日本,7.2,881,2019-01-10
大宋北斗司,中国大陆,5.3,1268,2019-03-19
乌鸦的拇指,日本,7.7,8282,2012-11-23
犯人就是你,韩国,7.7,3419,2018-05-04
但丁密码,中国大陆,6.2,68383,2016-10-28
绅士刑警1,日本,9.2,15391,1994-04-13
黑井户疑案,日本,7.3,2487,2018-04-14
预告犯,日本,7.3,21949,2015-06-06
女神探夏洛克,日本/中国大陆,5.7,7754,2018-04-27
警察之家,日本,6.5,1307,2019-01-11
405谋杀案,中国大陆,8.4,7514,1980-05-11
八面埋伏,比利时,7.6,66767,2004-03-19
鸭子侦探,,9.1,20193,中国大陆
热血长安,中国大陆,6.5,8761,2017-02-15
布莱切利四人组 第一季,,8.4,16272,2012-09-06
铁证悬案：真实之门 第二季,日本,8.6,2099,2018-10-13
意外,香港,7.3,59070,2009-09-24
沉默的证人,中国大陆,8.9,4846,2004-10-01
哥特萝莉侦探事件簿,日本,7.8,8214,2011-01-07
怪宴,,8.2,9946,1976-06-23
