name,nation,score,peoples,date
海扁王,,7.5,182407,2010/4/16
杰西卡·琼斯 第一季,美国,7.5,8860,2015/11/20
苹果核战记,日本,7.5,12517,2004/4/17
亲爱的，我把孩子缩小了,,7.5,18251,1989/6/23
亚特兰蒂斯：失落的帝国,,7.5,9082,2001/6/15
雪国列车,韩国,7.4,223278,2013/8/1
异形：契约,法国,7.4,175424,2017/5/10
雷神2：黑暗世界,中国大陆,7.4,217214,2013/11/8
蜘蛛侠2,美国,7.4,157831,2004/6/30
金刚狼,美国,7.4,190396,2009/5/1
僵尸世界大战,伦敦首映,7.4,155342,2013/6/2
魔力蕾丝垫,奥地利,7.4,1081,2012/4/17
博物馆奇妙夜,纽约首映,7.4,178186,2006/12/17
寄生兽,日本,7.4,99167,2014/11/29
永无止境,美国,7.4,99893,2011/3/18
天才眼镜狗,英国,7.4,59095,2014/2/7
香草的天空,,7.4,44208,2001/12/14
世界尽头,英国,7.4,42667,2013/7/19
天降美食,,7.4,101300,2009/9/18
入侵脑细胞,美国,7.4,28937,2000/8/17
时间裂缝,,7.4,3356,1995/5/14
通缉令,美国,7.4,136354,2008/6/27
他是龙,俄罗斯,7.4,125754,2015/12/3
木乃伊归来,美国,7.4,94024,2001/5/4
银魂2,日本,7.4,19534,2018/8/17
颤抖吧，阿部！,中国大陆,7.4,19647,2017/8/7
鬼打墙,,7.4,10175,2011/11/22
黑夜传说,多伦多电影节,7.4,72428,2003/9/8
电子世界争霸战,美国,7.4,5795,1982/7/9
爱的就是你,美国,7.4,10987,2014/8/8
快乐星球 第二部,中国大陆,7.4,4132,2006/1/21
穿越时空爱上你,,7.4,57996,2001/12/25
死亡飞车,美国,7.4,60721,2008/8/22
蚁人2：黄蜂女现身,美国,7.3,311446,2018/7/6
死侍2：我爱我家,美国,7.3,263009,2018/5/18
复仇者联盟2：奥创纪元,美国,7.3,331494,2015/5/1
普罗米修斯,美国,7.3,232584,2012/6/8
密室逃生,美国,7.3,106157,2019/1/4
超凡蜘蛛侠,美国,7.3,196598,2012/7/3
饥饿游戏2：星火燎原,中国大陆,7.3,175846,2013/11/21
特种部队：眼镜蛇的崛起,东京首映,7.3,129474,2009/7/27
蓝皮书 第一季,美国,7.3,1223,2019/1/8
变蝇人,美国,7.3,24854,1986/8/15
疯狂外星人,博尔德电影节,7.3,53788,2015/3/7
超级学校霸王,香港,7.3,33776,1993/7/15
纳尼亚传奇1：狮子、女巫和魔衣橱,美国,7.3,126716,2005/12/9
时空罪恶,西班牙,7.3,25087,2007/10/5
蝙蝠侠,,7.3,32830,1989/6/23
刀剑神域2,日本,7.3,10659,2014/7/5
血族 第一季,美国,7.3,28017,2014/7/13
绿箭侠 第一季,美国,7.3,27700,2012/10/9
假面骑士：时王,日本,7.3,1226,2018/9/2
地球停转之日,,7.3,3813,1951/9/28
灵幻夹克,,7.3,12544,2005/3/4
天外来客,,7.3,2034,1976/3/18
毒液：致命守护者,美国,7.2,508612,2018/10/5
超体,美国,7.2,326317,2014/7/25
水形物语,威尼斯电影节,7.2,301880,2017/8/31
幽冥,美国,7.2,31503,2016/12/9
蜘蛛侠3,中国大陆,7.2,142205,2007/5/1
魔女,韩国,7.2,16744,2018/6/27
生化危机3：灭绝,美国,7.2,121485,2007/9/21
终结者3,美国,7.2,77377,2003/7/2
宝莱坞机器人之恋,美国,7.2,17229,2010/10/1
记忆裂痕,美国,7.2,32653,2003/12/25
火星人玩转地球,美国,7.2,29645,1996/12/13
罪恶王冠,日本,7.2,21723,2011/10/13
星际之门,,7.2,9397,1994/10/28
另一个地球,美国,7.2,15379,2011/7/22
佩小姐的奇幻城堡,美国,7.2,118020,2016/9/30
最终幻想15：王者之剑,日本,7.2,28809,2016/7/9
蝙蝠侠归来,美国,7.2,26272,1992/6/19
惊异大奇航,美国,7.2,1046,1987/7/1
末世纪暴潮,,7.2,2399,1995/10/13
疯狂的麦克斯2,澳大利亚,7.2,9535,1981/12/24
龙卷风,,7.2,22592,1996/5/10
黑暗扫描仪,,7.2,6997,2006/7/28
哆啦A梦：新·大雄的日本诞生,日本,7.2,32041,2016/3/5
大黄蜂,美国,7.1,240359,2018/12/21
湮灭,美国,7.1,239413,2018/2/23
蒙上你的眼,美国点映,7.1,23165,2018/12/13
神奇女侠,香港/台湾,7.1,320100,2017/5/30
星球大战8：最后的绝地武士,美国,7.1,110360,2017/12/15
变形金刚3,美国,7.1,254983,2011/6/29
星球大战7：原力觉醒,美国,7.1,165253,2015/12/18
爱丽丝梦游仙境,美国,7.1,262510,2010/3/5
侏罗纪公园3,美国,7.1,68836,2001/7/18
记忆大师,北京电影节,7.1,242812,2017/4/23
时间机器,美国,7.1,17851,2002/3/8
忌日快乐,美国,7.1,154863,2017/10/13
神奇动物：格林德沃之罪,中国大陆,7.1,291725,2018/11/16
博物馆奇妙夜3,埃及,7.1,113096,2014/12/17
鹰眼,美国,7.1,38054,2008/9/26
生化危机：恶化,日本,7.1,23434,2008/10/18
感官游戏,加拿大/美国,7.1,9545,1999/4/23
定时拍摄,戛纳电影节,7.1,5870,2014/5/20
奎迪：英雄再起,美国,7.1,14850,2018/11/21
500年后,美国,7.1,3330,1971/3/11
虐杀器官,日本,7.1,4169,2017/2/3
深海狂鲨,,7.1,10332,1999/7/28
波斯王子：时之刃,美国,7.1,97761,2010/5/28
结爱·千岁大人的初恋,中国大陆,7.1,53760,2018/5/9
非凡,圣巴巴拉电影节,7.1,1724,2015/1/30
异形魔怪,美国,7.1,6338,1990/1/19
惊奇队长,美国,7,268850,2019/3/8
星际特工：千星之城,德国,7,131274,2017/7/20
超人：钢铁之躯,美国,7,154791,2013/6/14
猎杀星期一,洛迦诺电影节,7,24984,2017/8/6
心慌方·零,泰国,7,40113,2004/12/16
古墓丽影,,7,97500,2001/6/15
沉睡魔咒,美国,7,145753,2014/5/30
命运航班 第一季,美国,7,2542,2018/9/24
忍者蝙蝠侠,美国,7,12142,2018/4/24
颤抖吧阿部之朵星风云,中国大陆,7,3819,2018/9/27
银翼杀手：2048无处可逃,美国,7,5851,2017/9/14
天降奇兵,,7,19554,2003/7/11
银魂,日本,7,95701,2017/7/14
黑镜：潘达斯奈基,美国,6.9,49459,2018/12/28
太空旅客,美国,6.9,145330,2016/12/21
安德的游戏,德国,6.9,127434,2013/10/24
时间规划局,加州首映,6.9,142123,2011/10/20
勇敢者游戏：决战丛林,美国,6.9,135890,2017/12/20
游侠索罗：星球大战外传,洛杉矶首映,6.9,42246,2018/5/10
雷神,美国,6.9,199769,2011/5/6
无敌浩克,美国,6.9,122792,2008/6/13
环形使者,多伦多电影节,6.9,136539,2012/9/6
