name,nation,score,peoples,date
诸神之战,美国,6,83014,2010/4/2
蝴蝶效应2,美国,6,48071,2006/10/10
灭顶之灾,纽约首映,6,14704,2008/6/10
宇宙追缉令,美国,6,22726,2001/11/2
蝙蝠侠与罗宾,,6,22671,1997/6/20
夜行者,美国,6,953,2018/12/2
佐伊,翠贝卡电影节,6,1034,2018/4/21
宿主,美国,6,14833,2013/3/29
饥饿游戏3：嘲笑鸟(上),伦敦首映,5.9,111592,2014/11/10
绿灯侠,美国,5.9,58819,2011/6/17
异能,加拿大,5.9,25144,2009/2/6
超能敢死队,美国,5.9,24114,2016/7/15
爱,美国,5.9,759,2011/8/10
灭绝,美国,5.8,4195,2018/7/27
异形大战铁血战士2,美国,5.8,24488,2007/12/25
分歧者3：忠诚世界,曼谷首映,5.8,31512,2016/3/8
人类清除计划,斯坦利电影节,5.8,42175,2013/5/2
黑夜传说5：血战,俄罗斯,5.8,17999,2016/11/24
智慧囚屋,美国,5.8,2201,2018/6/29
巨齿鲨,美国,5.7,151067,2018/8/10
哥斯拉：噬星者,东京电影节,5.7,3010,2018/11/3
地球停转之日,美国,5.7,35739,2008/12/12
杀戮指令,英国,5.7,5180,2016/5/13
牛仔和外星人,美国,5.7,15762,2011/7/29
超胆侠,美国,5.7,20645,2003/2/14
此刻只有你共我,圣丹斯电影节,5.7,855,2018/1/21
青蜂侠,美国,5.7,67549,2011/1/14
魔力女战士,,5.6,11112,2005/12/2
魔鬼山历险记,,5.6,9208,2009/3/11
寂静岭2,美国,5.6,49997,2012/10/26
环太平洋：雷霆再起,美国,5.5,171606,2018/3/23
重返地球,美国,5.5,56662,2013/5/31
人兽杂交,加拿大,5.5,53201,2010/6/4
缩小人生,威尼斯电影节,5.5,14745,2017/8/30
二代妖精之今生有幸,中国大陆,5.5,101238,2017/12/29
穿越,柏林科幻影展,5.5,1288,2017/11/17
末世殖民地,加拿大,5.5,3377,2013/4/12
黑暗迷宫,中国大陆,5.4,2678,2018/10/31
鸡皮疙瘩2：闹鬼万圣节,美国,5.4,2061,2018/10/12
曼蒂,圣丹斯电影节,5.4,10493,2018/1/19
致命紫罗兰,,5.4,12561,2006/3/3
功夫之王,美国,5.4,124968,2008/4/18
移动迷宫3：死亡解药,美国,5.3,60295,2018/1/26
刺客信条,美国,5.3,76358,2016/12/21
华氏451,戛纳电影节,5.3,2388,2018/5/12
黑暗心灵,美国,5.2,1850,2018/8/3
同族,美国,5.2,872,2018/8/31
机器侠,中国大陆,5.2,34278,2009/8/18
星河战队3：掠夺者,,5.2,10917,2008/8/5
我们都是超能力者！电影版,日本,5.1,12660,2015/9/4
星河战队2：联邦英雄,,5.1,9503,2004/4/24
悟空传,中国大陆,5.1,172356,2017/7/13
四大名捕,中国大陆,5.1,84614,2012/7/12
铁血战士,多伦多电影节,4.9,38702,2018/9/7
变形金刚5：最后的骑士,美国,4.9,172726,2017/6/21
这个男人来自地球：全新纪,美国,4.9,7518,2017/6/10
逆时营救,上海电影节,4.8,51904,2017/6/19
莫斯科陷落,俄罗斯,4.8,9128,2017/1/26
俘虏国度,美国,4.7,97,2019/3/15
美人鱼之死亡湖,俄罗斯,4.6,477,2018/7/12
天际浩劫,美国,4.5,31872,2010/11/12
不期而遇,美国,4.5,383,2018/9/21
神奇四侠2015,美国,4.4,29643,2015/8/7
龙之战,韩国,4.1,16274,2007/8/1
未来警察,中国大陆,3.9,39408,2010/3/30
不可思异,中国大陆,3.8,17886,2015/12/4
清算日,美国,3.4,407,2016/10/8
大蛇,中国大陆,3.3,1688,2018/9/4
钢铁飞龙之奥特曼崛起,中国大陆,3.1,1823,2019/1/18
冰封侠：时空行者,中国大陆,2.6,7599,2018/11/2
